Symbol,Name,Last,Change,"% Change","Price Volume",Time
BBD-B-T,"Bombardier Inc Cl B Sv",42.92,1.28,0.0307,"34,910",11/11/22
WEED-T,"Canopy Growth Corp",5.61,0.52,0.1022,"34,852",11/11/22
GIB-A-T,"CGI Group Inc Cl A Sv",113.3,-0.54,-0.0047,"34,109",11/11/22
NVEI-T,"Nuvei Corp",44.99,3.02,0.072,"32,838",11/11/22
SMU-UN-T,"Summit Industrial Income REIT",22,-0.15,-0.0068,"32,756",11/11/22
BTE-T,"Baytex Energy Corp",7.42,0.19,0.0263,"31,957",11/11/22
SJR-B-T,"Shaw Communications Inc Cl B NV",35.98,0,0,"31,780",11/11/22
H-T,"Hydro One Ltd",33.96,-0.39,-0.0114,"30,911",11/11/22
IVN-T,"Ivanhoe Mines Ltd",11.24,0.33,0.0302,"30,127",11/11/22
YRI-T,"Yamana Gold Inc",6.8,0.19,0.0287,"29,156",11/11/22
WSP-T,"WSP Global Inc",160.49,-3.23,-0.0197,"28,439",11/11/22
LAC-T,"Lithium Americas Corp",37.57,0.07,0.0019,"27,851",11/11/22
ERF-T,"Enerplus Corp",24.88,0.92,0.0384,"27,813",11/11/22
GWO-T,"Great-West Lifeco Inc",31.16,0.38,0.0123,"27,718",11/11/22
K-T,"Kinross Gold Corp",5.7,0.04,0.0071,"27,704",11/11/22
GFL-T,"Gfl Environmental Inc",37.5,1.5,0.0417,"27,618",11/11/22
IAG-T,"IA Financial Corp Inc",73.38,2.78,0.0394,"27,044",11/11/22
CCL-B-T,"Ccl Industries Inc Cl B NV",58.98,-1.16,-0.0193,"26,367",11/11/22
CAE-T,"Cae Inc",28.84,0.41,0.0144,"26,217",11/11/22
PAAS-T,"Pan American Silver Corp",20.49,1.07,0.0551,"25,792",11/11/22
LUN-T,"Lundin Mining Corp",8.23,0.15,0.0186,"25,606",11/11/22
FFH-T,"Fairfax Financial Holdings Ltd",734.13,7.77,0.0107,"25,119",11/11/22
OTEX-T,"Open Text Corp",39.73,0.88,0.0227,"24,802",11/11/22
DSG-T,"Descartes Sys",95.91,0.7,0.0074,"23,370",11/11/22
GOOS-T,"Canada Goose Holdings Inc",25.02,1.93,0.0836,"23,334",11/11/22
PEY-T,"Peyto Exploration and Dvlpmnt Corp",14.72,0.49,0.0344,"23,070",11/11/22
PET-T,"Pet Valu Holdings Ltd",37.31,-2.05,-0.0521,"22,418",11/11/22
SAP-T,"Saputo Inc",33.38,-0.15,-0.0045,"22,338",11/11/22
BLX-T,"Boralex Inc",38.21,-0.44,-0.0114,"22,050",11/11/22
BB-T,"Blackberry Ltd",6.61,0.06,0.0092,"21,814",11/11/22
DFY-T,"Definity Financial Corporation",36.42,-0.85,-0.0228,"21,580",11/11/22
KEY-T,"Keyera Corp",28.77,0.57,0.0202,"21,552",11/11/22
WN-T,"Weston George",151.92,-2.98,-0.0192,"20,903",11/11/22
TVE-T,"Tamarack Valley Energy Ltd",5.41,0.18,0.0344,"20,671",11/11/22
ATA-T,"Ats Automation",44.12,-0.16,-0.0036,"20,572",11/11/22
REI-UN-T,"Riocan Real Est Un",21.34,0.29,0.0138,"19,924",11/11/22
CCA-T,"Cogeco Communications Inc",72.33,0.91,0.0127,"19,915",11/11/22
CU-T,"Canadian Utilities Ltd Cl A NV",35.62,-0.14,-0.0039,"19,651",11/11/22
RBA-T,"Ritchie Bros Auctioneers Inc",72.65,1.68,0.0237,"19,526",11/11/22
CIGI-T,"Colliers International Group Inc",133.97,5.74,0.0448,"19,199",11/11/22
ABST-T,"Absolute Software Corp",13.21,0.8,0.0645,"19,011",11/11/22
"Downloaded data provided by Barchart as of 11-12-2022 11:26am CST"
